,TravelMotives,Population,TravelModes,RegionCharacteristics,Periods,Trip in a year,Km travelled in a year,Hours travelled in a year,UserId
52,2030250,A048710,A018984,PV22    ,2019JJ00,       .,       .,       .,2788
53,2030210,A048710,A048584,PV30    ,2018JJ00,       9,      61,     2.5,1816
54,2030210,A048709,A018981,PV28    ,2020JJ00,       2,      73,     2.6,1841
55,2030200,A048710,A018982,PV22    ,2021JJ00,       .,       .,       .,1167
56,2820740,A048710,A018981,PV20    ,2022JJ00,       .,       .,       .,1305
57,2030230,A048709,A018981,PV26    ,2018JJ00,       .,       .,       .,1185
58,2030240,A048709,A048583,PV30    ,2018JJ00,       6,     159,     7.7,1504
59,2030210,A048709,T001093,,2021JJ00,      29,     330,    13.6,1167
60,2030240,A048709,A018981,PV23    ,2021JJ00,       .,       .,       .,2416
61,2030230,A048710,A018982,PV26    ,2018JJ00,       .,       .,       .,288
62,2030250,A048709,A018981,PV22    ,2020JJ00,       .,       .,       .,1483
63,2030170,A048709,A018984,PV22    ,2019JJ00,      51,     215,    14.6,1914
64,2030200,A048710,A018982,PV29    ,2019JJ00,       .,       .,       .,2169
65,2030170,A048709,A048583,PV29    ,2021JJ00,      91,    1750,    34.4,2835
66,2030200,A048709,T001093,PV23    ,2018JJ00,     211,    1332,    52.2,2342
67,2030170,A048709,A018981,PV21    ,2019JJ00,       .,       .,       .,27
68,2030200,A048709,A048583,PV30    ,2020JJ00,      93,     592,    19.4,2201
69,2820740,A048709,A018982,PV23    ,2018JJ00,       .,       .,       .,1345
70,2030170,A048709,A018985,PV20    ,2018JJ00,       .,       .,       .,1343
71,2030200,A048709,A048584,PV23    ,2021JJ00,      19,     194,     5.1,2768
72,2030170,A048709,A018981,PV20    ,2021JJ00,       .,       .,       .,1695
73,2030210,A048709,A018982,PV31    ,2022JJ00,       .,       .,       .,101
74,2030210,A048710,T001093,PV26    ,2019JJ00,      85,     665,    30.5,2274
75,2030220,A048709,A018984,PV21    ,2021JJ00,      18,      49,     4.0,1443
76,2030230,A048709,A048583,PV20    ,2022JJ00,      35,     713,    15.8,1245
77,2030210,A048709,A048583,PV25    ,2018JJ00,       8,     188,     4.0,2842
78,2030250,A048710,A018982,PV30    ,2022JJ00,       .,       .,       .,213
79,2030250,A048710,A018981,PV25    ,2022JJ00,       .,       .,       .,1814
80,2030170,A048709,A018986,PV23    ,2021JJ00,      13,     249,     5.3,2951
81,2030250,A048709,A018982,PV20    ,2020JJ00,       .,       .,       .,1384
82,2030230,A048710,A018982,PV23    ,2019JJ00,       .,       .,       .,1249
83,2030240,A048710,A018982,PV20    ,2021JJ00,       .,       .,       .,3519
84,2030210,A048710,A048583,PV21    ,2018JJ00,       .,       .,       .,315
85,2030170,A048710,T001093,PV30    ,2021JJ00,     145,    2432,    58.9,1
86,2030210,A048709,A018985,PV24    ,2022JJ00,       .,       .,       .,2026
87,2030250,A048709,A018986,PV31    ,2019JJ00,       .,       .,       .,2010
88,2030220,A048710,A018984,PV20    ,2022JJ00,      23,      73,     5.6,1742
89,2030230,A048709,A018986,PV24    ,2021JJ00,       .,       .,       .,1721
90,2030170,A048709,A018981,PV23    ,2021JJ00,       .,       .,       .,3456
91,2030220,A048709,A018985,PV29    ,2018JJ00,       .,       .,       .,1351
92,2820740,A048710,T001093,PV22    ,2020JJ00,      28,     784,    14.8,3212
93,2030240,A048709,A018982,PV21    ,2022JJ00,       .,       .,       .,2863
94,2030230,A048709,A018982,PV25    ,2021JJ00,       .,       .,       .,1665
95,2820740,A048710,A018981,PV20    ,2019JJ00,       .,       .,       .,3498
96,2030190,A048709,A018986,PV22    ,2022JJ00,       .,       .,       .,2542
97,2030170,A048710,A018981,PV22    ,2018JJ00,       .,       .,       .,2031
98,2030220,A048709,A018982,PV23    ,2020JJ00,       .,       .,       .,1465
99,2030190,A048710,A018982,PV25    ,2019JJ00,       .,       .,       .,2305
100,2030200,A048709,A018986,PV22    ,2022JJ00,       .,       .,       .,1412
101,2030190,A048710,A018981,PV30    ,2019JJ00,       .,       .,       .,1960
102,2030240,A048709,A018984,PV29    ,2020JJ00,      20,     389,    35.6,2016
103,2820740,A048709,A048584,PV22    ,2018JJ00,       .,       .,       .,2252
104,2030170,A048709,A018985,PV26    ,2022JJ00,       8,      16,     1.5,1621
105,2820740,A048710,A018984,PV23    ,2019JJ00,       .,       .,       .,1846
106,2820740,A048710,A018981,PV22    ,2020JJ00,       .,       .,       .,2938
107,2030210,A048709,A048584,PV29    ,2021JJ00,       .,       .,       .,1237
108,2030190,A048710,A018986,PV29    ,2018JJ00,       .,       .,       .,2503
109,2820740,A048709,A048584,PV30    ,2021JJ00,       .,       .,       .,2753
110,2030170,A048709,A018985,PV26    ,2018JJ00,       9,      25,     1.6,1094
111,2030170,A048710,A018985,PV25    ,2021JJ00,       7,       8,     1.3,3159
112,2030240,A048710,A018985,PV26    ,2019JJ00,      37,     127,    29.7,33
113,2030200,A048710,A048584,PV21    ,2021JJ00,       .,       .,       .,2826
114,2030230,A048709,A018985,PV25    ,2018JJ00,      22,      63,    11.4,760
115,2030250,4418,A018982,PV24    ,2021JJ00,       .,       .,       .,2485
116,2030240,A048709,A018985,PV28    ,2019JJ00,      41,     137,    33.7,127
117,2030200,A048710,T001093,PV29    ,2022JJ00,     208,    1102,    47.4,2205
118,2030240,A048710,A048584,PV30    ,2022JJ00,       .,       .,       .,468
119,2030240,A048709,A018982,PV25    ,2020JJ00,       .,       .,       .,282
120,2030200,A048710,A018985,PV20    ,2018JJ00,      50,      42,     8.4,2144
121,2030170,A048709,A018984,PV27    ,2019JJ00,      54,     284,    20.4,256
122,2030230,A048709,A018986,PV21    ,2018JJ00,       .,       .,       .,3395
123,2030170,A048709,A018984,PV21    ,2021JJ00,      48,     191,    16.5,3208
124,2030250,A048710,A018984,PV30    ,2020JJ00,      22,      51,     4.3,1932
125,2030250,A048709,A018984,PV28    ,2021JJ00,      25,      57,     5.8,2109
126,2030230,A048709,A018986,PV23    ,2021JJ00,       .,       .,       .,1829
127,2030220,A048709,A018986,PV29    ,2022JJ00,       .,       .,       .,532
128,2030200,A048709,T001093,PV24    ,2022JJ00,     209,    1361,    49.1,2366
129,2030230,A048710,A018982,PV25    ,2020JJ00,       .,       .,       .,3018
130,2030210,A048710,A048584,PV24    ,2022JJ00,       .,       .,       .,770
131,2030230,A048709,T001093,PV29    ,2018JJ00,     160,    2075,    72.5,3005
132,2030230,A048709,A048583,PV25    ,2018JJ00,      58,    1235,    25.9,1465
133,2030190,A048710,A018984,PV23    ,2018JJ00,       7,      18,     1.6,2386
134,2820740,A048709,A018985,,2018JJ00,       .,       .,       .,3252
135,2030200,A048709,T001093,PV22    ,2019JJ00,     221,    2024,    59.9,219
136,2030170,A048709,A018982,WrongVlaue,2020JJ00,       .,       .,       .,2854
137,2030240,A048710,A018982,PV21    ,2018JJ00,       .,       .,       .,3112
138,2030240,A048709,A018985,PV27    ,2022JJ00,      74,     246,    63.5,2003
139,2030220,A048710,A048583,PV28    ,2019JJ00,      35,     880,    18.3,2114
140,2820740,A048709,A048583,PV21    ,2022JJ00,       .,       .,       .,3504
141,2030220,A048710,A048584,PV31    ,2019JJ00,      24,     507,     9.4,3437
142,2820740,A048710,A018986,PV26    ,2020JJ00,       .,       .,       .,150
143,2030170,A048709,A018982,PV22    ,2021JJ00,       .,       .,       .,2618
144,2820740,A048709,A018984,PV20    ,2018JJ00,       .,       .,       .,2944
145,2030230,A048710,A018985,PV20    ,2018JJ00,      25,      72,    13.0,2591
146,2030230,A048710,A018982,PV21    ,2019JJ00,       .,       .,       .,1294
147,2030220,A048710,A048584,PV26    ,2020JJ00,      18,     548,     9.7,766
148,2030240,A048709,A018982,PV20    ,2019JJ00,       .,       .,       .,3092
149,2030210,A048710,A018981,PV28    ,2021JJ00,       3,      83,     3.0,2125
150,2030230,A048710,A018986,PV28    ,2020JJ00,       4,       .,     3.0,58
151,2820740,A048710,A018985,PV30    ,2018JJ00,       .,       .,       .,501
152,2030250,A048710,A018986,PV24    ,2022JJ00,       .,       .,       .,1228
153,2030210,A048710,A018981,PV29    ,2020JJ00,       .,       .,       .,3420
154,2030200,A048710,A018982,PV26    ,2018JJ00,       .,       .,       .,1454
155,2030230,A048709,A018981,PV31    ,2020JJ00,       .,       .,1000000,2406
156,2030210,A048710,A048584,PV28    ,2019JJ00,      10,      78,     2.8,1157
157,2030190,A048709,A018981,PV23    ,2022JJ00,       .,       .,       .,3007
158,2030250,A048709,A018981,PV21    ,2019JJ00,       .,       .,       .,2614
159,2030200,A048709,A018982,PV29    ,2018JJ00,       .,       .,       .,2559
160,2820740,A048710,A048583,PV31    ,2022JJ00,      17,       .,     7.7,768
161,2030170,A048710,A018984,PV29    ,2020JJ00,      42,     171,       .,1821
162,2030250,A048710,A018982,PV28    ,2019JJ00,       3,      34,     1.8,1119
163,2030190,A048710,A018986,PV26    ,2019JJ00,       .,       .,       .,1930
164,2030220,A048709,T001093,PV22    ,2018JJ00,     115,    2601,    53.4,3266
165,2030240,A048710,A018982,PV30    ,2018JJ00,       .,       .,       .,1955
166,2030200,A048710,A018986,PV29    ,2020JJ00,       .,       .,       .,1483
167,2820740,A048710,A018984,PV25    ,2018JJ00,       4,      15,     1.5,1995
168,2030200,A048710,A048584,PV28    ,2022JJ00,      18,     229,     6.3,2055
169,2030210,A048710,A048583,PV21    ,2020JJ00,       .,       .,       .,295
170,2030210,A048709,A018986,PV25    ,2018JJ00,       .,       .,       .,1041
171,2030170,A048709,A018985,PV29    ,2018JJ00,       .,       .,       .,2589
172,2030170,A048709,A018985,PV28    ,2022JJ00,       9,      22,     2.4,2052
173,2030200,A048710,A018985,PV20    ,2021JJ00,      46,      32,     6.9,1922
174,2030210,A048709,A018982,PV31    ,2021JJ00,       .,       .,       .,3445
175,2030250,A048710,T001093,PV29    ,2018JJ00,     103,    1194,    26.5,2130
176,2030230,A048710,A048584,PV31    ,2020JJ00,      22,     359,     8.5,59
177,2030220,A048710,A018985,PV24    ,2019JJ00,       .,       .,       .,122
178,2030170,A048709,A018981,PV25    ,2022JJ00,       7,     355,     9.3,3365
179,2030240,A048710,A048584,PV23    ,2021JJ00,       .,       .,       .,128
180,2030200,A048709,A048583,PV31    ,2019JJ00,      93,     539,    19.2,2905
181,2030250,A048710,A048583,PV20    ,2020JJ00,      40,     497,    11.5,2083
182,2030250,A048710,A018985,PV26    ,2022JJ00,      18,      15,     2.8,1764
183,2030230,A048709,A018982,PV30    ,2020JJ00,       .,       .,       .,810
184,2030170,A048709,A018982,PV20    ,2019JJ00,       .,       .,       .,1059
185,2030170,A048709,A048583,PV24    ,2021JJ00,      88,    2561,    43.6,1510
186,2030250,A048710,A018985,PV21    ,2022JJ00,       .,       .,       .,1882
187,2030170,A048710,A018981,PV24    ,2022JJ00,       .,       .,       .,2929
188,2030220,A048710,A048584,PV24    ,2022JJ00,      22,       .,    14.7,478
189,2030250,A048710,A018982,PV28    ,2022JJ00,       3,      30,     1.9,2640
190,2030240,A048709,A018985,PV23    ,2018JJ00,      52,     168,    38.3,866
191,2030220,A048709,A048584,PV25    ,2022JJ00,      20,     607,    11.1,1579
192,2030230,A048709,A018985,PV29    ,2018JJ00,      28,      69,       .,2899
193,2030240,A048709,A018982,PV24    ,2018JJ00,       .,       .,       .,3428
194,2030220,A048709,A018986,PV31    ,2022JJ00,       .,       .,       .,698
195,2820740,A048709,T001093,PV29    ,2018JJ00,       .,       .,       .,1696
196,2820740,A048710,T001093,PV31    ,2021JJ00,      29,     839,    16.9,3387
197,2030230,A048710,A048583,PV27    ,2018JJ00,      40,     759,    18.2,1705
198,2030210,A048709,A018984,PV21    ,2020JJ00,       .,       .,       .,300
199,2820740,A048709,A018982,PV30    ,2019JJ00,       .,       .,       .,1394
200,2030240,A048709,A018985,PV31    ,2022JJ00,      92,     311,    77.7,2002
201,2030210,A048709,A018986,PV30    ,2018JJ00,       .,       .,       .,1474
202,2030250,A048710,A018984,PV31    ,2018JJ00,      15,      26,     2.3,1014
203,2820740,A048709,A018984,PV28    ,2020JJ00,       3,      10,     0.8,1800
204,2030230,A048710,A018981,PV25    ,2018JJ00,       .,       .,       .,2265
205,2030240,A048709,A018981,PV30    ,2021JJ00,       .,       .,       .,601
206,2030250,A048710,A018982,PV30    ,2021JJ00,       .,       .,       .,1369
207,2820740,A048709,A048583,PV27    ,2021JJ00,      10,     282,     5.7,2963
208,2030220,A048709,T001093,PV27    ,2021JJ00,      83,    1709,    44.2,2082
209,2030170,A048709,A018986,PV30    ,2019JJ00,      12,     270,     6.1,2633
210,2030240,A048709,A018986,PV23    ,2020JJ00,       .,       .,       .,3508
211,2820740,A048709,A018984,PV27    ,2019JJ00,       6,      26,     2.1,2944
212,2030230,A048709,A018986,PV23    ,2022JJ00,       .,       .,       .,346
213,2820740,A048709,A018981,PV24    ,2021JJ00,       .,       .,       .,1620
214,2030240,A048709,A018984,PV30    ,2018JJ00,      12,     250,    24.9,1560
215,2030230,A048710,T001093,PV25    ,2020JJ00,     132,    1556,    66.5,1525
216,2030230,A048709,T001093,PV28    ,2021JJ00,     124,    1742,    74.6,766
217,2030250,A048710,A048583,PV29    ,2020JJ00,      68,     809,    18.2,2121
218,2030250,A048710,A018986,PV31    ,2020JJ00,       .,       .,       .,1394
219,2030170,A048710,A018981,PV26    ,2019JJ00,      21,     826,    22.5,1017
220,2030210,A048710,A048584,PV26    ,2022JJ00,       5,      43,     1.6,1946
221,2030190,A048709,A018981,PV25    ,2021JJ00,       .,       .,       .,1909
222,2030190,A048709,A018981,PV31    ,2021JJ00,       .,       .,       .,3428
223,2030170,A048709,A018984,PV21    ,2018JJ00,      54,     224,    15.6,29
224,2030220,A048710,A018984,PV24    ,2022JJ00,      13,      38,     3.7,1447
225,2030250,A048709,A018985,PV29    ,2019JJ00,       .,       .,       .,626
226,2820740,A048709,A018984,PV22    ,2018JJ00,       .,       .,       .,789
227,2030190,A048709,A048583,PV27    ,2022JJ00,      10,     106,     3.2,1795
228,2030230,A048710,A018981,PV26    ,2018JJ00,       .,       .,       .,121
229,2030250,A048710,A018982,PV25    ,2019JJ00,       .,       .,       .,472
230,2030230,A048710,T001093,PV27    ,2019JJ00,     188,    2370,    99.4,2102
231,2030210,A048710,A048584,PV28    ,2020JJ00,       5,      31,     1.4,2569
232,2030170,A048709,A018984,PV30    ,2018JJ00,      51,     245,    16.0,744
233,2030210,A048710,A018986,PV20    ,2022JJ00,       .,       .,       .,3479
234,2030250,A048710,T001093,PV31    ,2021JJ00,     109,     919,    32.3,2427
235,2030250,A048710,A018982,PV27    ,2021JJ00,       .,       .,       .,1879
236,2820740,A048709,A048583,PV21    ,2019JJ00,      20,    1096,    16.8,1224
237,2820740,A048710,T001093,PV31    ,2019JJ00,      41,     924,    18.9,2895
238,2030240,A048710,A018984,PV31    ,2018JJ00,      13,     258,    28.6,186
239,2030230,A048710,A048583,PV26    ,2022JJ00,      46,     881,    20.7,3447
240,2030200,A048709,A048584,PV21    ,2021JJ00,       .,       .,       .,1757
241,2030200,A048709,A018982,PV26    ,2018JJ00,       .,       .,       .,783
242,2030210,A048709,A018985,PV27    ,2018JJ00,       .,       .,       .,1217
243,2030170,A048710,A048583,PV26    ,2019JJ00,      88,    2622,    50.9,3097
244,2030230,A048709,T001093,PV29    ,2021JJ00,     115,    1582,    61.8,1481
245,2030240,A048709,A018982,PV20    ,2022JJ00,       .,       .,       .,1802
246,2030190,A048710,A018982,PV20    ,2020JJ00,       .,       .,       .,1801
247,2030210,A048710,T001093,PV25    ,2021JJ00,      51,     418,    18.4,3255
248,2030240,A048709,A048583,PV25    ,2019JJ00,       5,     127,     6.7,2721
249,2820740,A048709,A048583,PV31    ,2022JJ00,      18,       .,     8.1,2249
250,2030170,A048710,A018984,PV24    ,2021JJ00,      29,     122,     9.3,956
251,2030230,A048710,A018984,PV20    ,2018JJ00,      69,     299,    24.6,3239
252,2030220,A048709,A018984,PV23    ,2018JJ00,      28,      96,     7.7,66
253,2030170,A048709,A018984,PV29    ,2022JJ00,      40,     160,    12.4,42
254,2030190,A048709,A048584,PV24    ,2022JJ00,       .,       .,       .,1612
255,2030250,A048710,A018985,PV23    ,2021JJ00,      15,      11,     2.1,1710
256,2030190,A048709,A018984,PV25    ,2021JJ00,       8,      26,     1.9,1900
257,2820740,A048709,T001093,PV31    ,2022JJ00,      30,     707,    14.0,1097
258,2030230,A048709,A018981,PV22    ,2022JJ00,       .,       .,       .,3397
259,2030170,A048709,A048584,PV23    ,2019JJ00,       .,       .,       .,2977
260,2030210,A048709,A018982,PV31    ,2020JJ00,       .,       .,       .,2654
261,2030170,A048709,A018984,PV24    ,2018JJ00,      40,     152,    10.3,534
262,2030250,A048710,A018985,PV28    ,2022JJ00,      20,      18,     3.5,3508
263,2820740,A048710,T001093,PV27    ,2021JJ00,      24,     486,    12.4,998
264,2030200,A048710,A018982,PV27    ,2018JJ00,       8,      59,     4.2,736
265,2820740,A048710,A048584,PV21    ,2019JJ00,       .,       .,       .,2982
266,2030190,A048710,A048584,PV30    ,2022JJ00,       .,       .,       .,2137
267,2030190,A048709,T001093,PV22    ,2021JJ00,      35,     390,    10.2,3489
268,2820740,A048710,A048583,PV22    ,2018JJ00,       .,       .,       .,1874
269,2030220,A048710,A048583,PV29    ,2019JJ00,      35,    1307,    19.6,2321
270,2030210,A048709,A048583,PV30    ,2018JJ00,       6,     156,     3.5,3189
271,2030190,A048709,A018981,PV20    ,2022JJ00,       .,       .,       .,375
272,2030250,A048709,A048583,PV29    ,2022JJ00,      54,     655,    15.5,300
273,2030200,A048709,A048583,PV23    ,2021JJ00,      86,     711,    20.3,3027
274,2030240,A048710,A018981,PV22    ,2022JJ00,       .,       .,       .,1771
275,2030240,A048710,A048583,PV28    ,2021JJ00,       6,     128,     7.3,2583
276,2030200,A048709,A018986,PV23    ,2020JJ00,       .,       .,       .,2372
277,2820740,A048710,A048583,PV22    ,2021JJ00,       .,       .,       .,86
278,2030220,A048710,A018985,PV22    ,2018JJ00,       .,       .,       .,1641
279,2030240,A048710,A018986,PV23    ,2021JJ00,       .,       .,       .,2441
280,2030170,A048710,A048583,PV21    ,2022JJ00,      91,    2364,    43.6,890
281,2030210,A048709,A018986,PV31    ,2020JJ00,       .,       .,       .,168
282,2030230,A048709,A018981,PV21    ,2019JJ00,       .,       .,       .,2212
283,2030200,A048709,A048583,PV26    ,2022JJ00,      70,     549,    17.3,1010
284,2820740,A048710,T001093,PV24    ,2019JJ00,      28,    1126,    22.4,999
285,2030240,A048709,A018985,PV27    ,2019JJ00,      38,     131,    36.5,2156
286,2030200,A048709,A018984,PV30    ,2022JJ00,      59,     125,    11.1,1902
287,2030170,A048709,A018981,PV20    ,2022JJ00,       .,       .,       .,1728
288,2030250,A048710,A018986,PV30    ,2018JJ00,       .,       .,       .,2226
289,2030190,A048710,A018982,PV27    ,2021JJ00,       .,       .,       .,538
290,2030250,A048709,A018986,PV23    ,2018JJ00,       .,       .,       .,2475
291,2030210,A048710,A018982,PV23    ,2021JJ00,       .,       .,       .,517
292,2030190,A048710,A018986,PV21    ,2019JJ00,       .,       .,       .,495
293,2030210,A048709,A018986,PV28    ,2021JJ00,       .,       .,       .,3408
294,2030240,A048710,A048583,PV27    ,2020JJ00,       6,     111,     5.8,2658
295,2030210,A048709,A018984,PV29    ,2019JJ00,       .,       .,       .,901
296,2030250,A048710,A048584,PV27    ,2018JJ00,      11,     184,     4.6,3503
297,2030210,A048710,A048583,PV26    ,2022JJ00,       .,       .,       .,2032
298,2030240,A048709,A018986,PV26    ,2022JJ00,       .,       .,       .,611
299,2030210,A048710,A048584,PV23    ,2022JJ00,       .,       .,       .,2344
300,2030210,A048710,A048583,PV20    ,2018JJ00,       .,       .,       .,1354
301,2030170,A048710,A018986,PV28    ,2020JJ00,       9,     143,     4.4,975
302,2030200,A048709,A018986,PV30    ,2020JJ00,       .,       .,       .,2964
303,2030250,A048709,A018982,PV26    ,2018JJ00,       .,       .,       .,3444
304,2030230,A048709,A048583,PV22    ,2021JJ00,      32,     466,    13.5,1249
305,2030210,A048709,A018982,PV21    ,2019JJ00,       .,       .,       .,1119
306,2030230,A048709,A018985,PV23    ,2021JJ00,      20,      73,    13.3,99
307,2820740,A048709,A018985,PV27    ,2022JJ00,       .,       .,,3461
308,2030210,A048709,A018986,PV22    ,2018JJ00,       .,       .,       .,2032
309,2030200,A048710,A018981,PV27    ,2022JJ00,       .,       .,       .,2138
310,2030230,A048709,A018982,PV23    ,2019JJ00,       .,       .,       .,1479
311,2030220,A048709,A018981,PV31    ,2019JJ00,       .,       .,       .,2430
312,2030170,A048709,A018986,PV24    ,2022JJ00,       .,       .,       .,1023
313,2030210,A048710,A018982,PV29    ,2021JJ00,       .,       .,       .,51
314,2030250,A048710,A018982,PV20    ,2022JJ00,       .,       .,       .,432
315,2030230,A048709,A048583,PV30    ,2022JJ00,      48,     859,    20.2,439
316,2030230,A048710,A048583,PV28    ,2022JJ00,      39,     728,    18.5,2502
317,2030200,A048710,A018986,PV26    ,2019JJ00,       .,       .,,2377
318,2030220,A048710,A018985,PV29    ,2021JJ00,       .,       .,       .,1501
319,2030250,A048709,A018986,PV30    ,2018JJ00,       .,       .,       .,2787
320,2030230,A048709,A018984,PV20    ,2019JJ00,      44,     245,    16.7,1981
321,2030210,A048710,A018986,PV25    ,2022JJ00,       .,       .,       .,597
322,2820740,A048709,A018981,PV25    ,2021JJ00,       .,       .,       .,1637
323,2030190,A048709,A018986,PV26    ,2020JJ00,       .,       .,       .,2942
324,2030190,A048710,A018986,PV21    ,2020JJ00,       .,       .,       .,792
325,2030240,A048710,A048583,PV30    ,2021JJ00,       6,     145,     8.9,145
326,2030170,A048710,A048583,PV28    ,2022JJ00,      65,    1474,    34.8,1010
327,2030190,A048709,A018984,PV28    ,2022JJ00,       8,      21,     1.8,1031
328,2030210,A048709,A018985,PV28    ,2022JJ00,       2,       9,     0.6,1384
329,2030220,A048710,A018984,PV27    ,2022JJ00,      20,      87,     6.5,1175
330,2030240,A048710,A018984,PV20    ,2020JJ00,      15,     277,    32.3,989
331,2030210,A048710,A048584,PV25    ,2018JJ00,       9,      78,     2.5,1012
332,2030210,A048710,T001093,PV30    ,2018JJ00,      79,     709,    30.1,3329
333,2030170,A048709,A048584,PV30    ,2019JJ00,       6,     115,     2.8,3501
334,2030170,A048709,A018981,PV24    ,2021JJ00,       .,       .,       .,332
335,2030170,A048710,T001093,PV27    ,2020JJ00,     131,    2077,    62.3,3404
336,2030190,A048709,A048583,PV23    ,2021JJ00,      13,     195,     4.9,2564
337,2030200,A048709,A018984,PV27    ,2020JJ00,      63,     123,    12.5,1284
338,2030210,A048709,A048583,PV27    ,2022JJ00,       5,     145,     2.9,3277
339,2030230,A048709,A048584,PV23    ,2021JJ00,      21,     527,    11.7,713
340,2030200,A048709,T001093,PV25    ,2021JJ00,     214,    1060,    49.2,2296
341,2820740,A048710,A048583,PV29    ,2020JJ00,       .,       .,       .,1941
342,2030210,A048710,A048583,PV23    ,2020JJ00,       .,       .,       .,669
343,2030210,A048710,A018981,PV27    ,2018JJ00,       6,     231,     7.2,2641
344,2030210,A048710,T001093,PV31    ,2019JJ00,      67,     673,    26.3,1793
345,2030210,A048710,A018985,PV27    ,2022JJ00,      11,      16,     3.0,1285
346,2030250,A048709,A018986,PV26    ,2019JJ00,       .,       .,       .,548
347,2030240,A048709,A048583,PV22    ,2022JJ00,       .,       .,       .,270
348,2030210,A048710,A048583,PV22    ,2020JJ00,       .,       .,       .,2578
