,Periods,mode,level_urbanization,ID
67,2020JJ00,Other,Extremely urbanised,2
68,2020JJ00,Passenger car (driver),Hardly urbanised,8
69,2020JJ00,Passenger car (driver),Moderately urbanised,8
70,2020JJ00,Passenger car (driver),Strongly urbanised,5
71,2020JJ00,Passenger car (driver),Extremely urbanised,2
72,2020JJ00,Passenger car (passenger),Hardly urbanised,8
73,2020JJ00,Passenger car (passenger),Moderately urbanised,8
74,2020JJ00,Passenger car (passenger),Strongly urbanised,4
75,2020JJ00,Passenger car (passenger),Extremely urbanised,2
76,2020JJ00,Train,Hardly urbanised,8
77,2020JJ00,Train,Moderately urbanised,8
78,2020JJ00,Train,Strongly urbanised,4
79,2020JJ00,Train,Extremely urbanised,2
80,2020JJ00,Walking,Hardly urbanised,7
81,2020JJ00,Walking,Moderately urbanised,7
82,2020JJ00,Walking,Strongly urbanised,4
83,2020JJ00,Walking,Extremely urbanised,2
84,2021JJ00,Bike,Hardly urbanised,8
85,2021JJ00,Bike,Moderately urbanised,8
86,2021JJ00,Bike,Strongly urbanised,3
87,2021JJ00,Bike,Extremely urbanised,2
88,2021JJ00,Bus/tram/metro,Hardly urbanised,8
89,2021JJ00,Bus/tram/metro,Moderately urbanised,8
90,2021JJ00,Bus/tram/metro,Strongly urbanised,4
91,2021JJ00,Bus/tram/metro,Extremely urbanised,2
92,2021JJ00,Other,Hardly urbanised,8
93,2021JJ00,Other,Moderately urbanised,7
94,2021JJ00,Other,Strongly urbanised,4
95,2021JJ00,Other,Extremely urbanised,2
96,2021JJ00,Passenger car (driver),Hardly urbanised,8
97,2021JJ00,Passenger car (driver),Moderately urbanised,8
98,2021JJ00,Passenger car (driver),Strongly urbanised,4
99,2021JJ00,Passenger car (driver),Extremely urbanised,2
100,2021JJ00,Passenger car (passenger),Hardly urbanised,8
101,2021JJ00,Passenger car (passenger),Moderately urbanised,8
102,2021JJ00,Passenger car (passenger),Strongly urbanised,4
103,2021JJ00,Passenger car (passenger),Extremely urbanised,2
104,2021JJ00,Train,Hardly urbanised,8
105,2021JJ00,Train,Moderately urbanised,8
106,2021JJ00,Train,Strongly urbanised,4
107,2021JJ00,Train,Extremely urbanised,2
108,2021JJ00,Walking,Hardly urbanised,8
109,2021JJ00,Walking,Moderately urbanised,8
110,2021JJ00,Walking,Strongly urbanised,4
111,2021JJ00,Walking,Extremely urbanised,2
112,2022JJ00,Bike,Hardly urbanised,8
113,2022JJ00,Bike,Moderately urbanised,8
114,2022JJ00,Bike,Strongly urbanised,4
115,2022JJ00,Bike,Extremely urbanised,2
116,2022JJ00,Bus/tram/metro,Hardly urbanised,8
117,2022JJ00,Bus/tram/metro,Moderately urbanised,8
118,2022JJ00,Bus/tram/metro,Strongly urbanised,4
119,2022JJ00,Bus/tram/metro,Extremely urbanised,2
120,2022JJ00,Other,Hardly urbanised,8
121,2022JJ00,Other,Moderately urbanised,8
122,2022JJ00,Other,Strongly urbanised,4
123,2022JJ00,Other,Extremely urbanised,2
124,2022JJ00,Passenger car (driver),Hardly urbanised,8
125,2022JJ00,Passenger car (driver),Moderately urbanised,8
126,2022JJ00,Passenger car (driver),Strongly urbanised,4
127,2022JJ00,Passenger car (driver),Extremely urbanised,2
128,2022JJ00,Passenger car (passenger),Hardly urbanised,8
129,2022JJ00,Passenger car (passenger),Moderately urbanised,9
130,2022JJ00,Passenger car (passenger),Strongly urbanised,4
131,2022JJ00,Passenger car (passenger),Extremely urbanised,2
132,2022JJ00,Train,Hardly urbanised,9
133,2022JJ00,Train,Moderately urbanised,8
134,2022JJ00,Train,Strongly urbanised,4
135,2022JJ00,Train,Extremely urbanised,2
136,2022JJ00,Walking,Hardly urbanised,8
137,2022JJ00,Walking,Moderately urbanised,8
138,2022JJ00,Walking,Strongly urbanised,4
139,2022JJ00,Walking,Extremely urbanised,2
